id,name,wiki_url,drugbank_url
DB00001,Lepirudin,http://www.wikidata.org/entity/Q3271949,https://go.drugbank.com/drugs/DB00001
DB00002,Cetuximab,http://www.wikidata.org/entity/Q420296,https://go.drugbank.com/drugs/DB00002
DB00003,"Dornase alfa",,https://go.drugbank.com/drugs/DB00003
DB00004,"Denileukin diftitox",,https://go.drugbank.com/drugs/DB00004
DB00005,Etanercept,http://www.wikidata.org/entity/Q415343,https://go.drugbank.com/drugs/DB00005
DB00006,Bivalirudin,http://www.wikidata.org/entity/Q4919218,https://go.drugbank.com/drugs/DB00006
DB00007,Leuprolide,,https://go.drugbank.com/drugs/DB00007
DB00008,"Peginterferon alfa-2a",http://www.wikidata.org/entity/Q420056,https://go.drugbank.com/drugs/DB00008
DB00009,Alteplase,,https://go.drugbank.com/drugs/DB00009
DB00010,Sermorelin,,https://go.drugbank.com/drugs/DB00010
DB00011,"Interferon alfa-n1",,https://go.drugbank.com/drugs/DB00011
DB00012,"Darbepoetin alfa",,https://go.drugbank.com/drugs/DB00012
DB00013,Urokinase,,https://go.drugbank.com/drugs/DB00013
DB00014,Goserelin,http://www.wikidata.org/entity/Q1992653,https://go.drugbank.com/drugs/DB00014
DB00015,Reteplase,,https://go.drugbank.com/drugs/DB00015
DB00016,Erythropoietin,http://www.wikidata.org/entity/Q5383794,https://go.drugbank.com/drugs/DB00016
DB00017,"Salmon calcitonin",http://www.wikidata.org/entity/Q20801721,https://go.drugbank.com/drugs/DB00017
DB00018,"Interferon alfa-n3",,https://go.drugbank.com/drugs/DB00018
DB00019,Pegfilgrastim,http://www.wikidata.org/entity/Q1592932,https://go.drugbank.com/drugs/DB00019
DB00020,Sargramostim,,https://go.drugbank.com/drugs/DB00020
DB00022,"Peginterferon alfa-2b",http://www.wikidata.org/entity/Q7160789,https://go.drugbank.com/drugs/DB00022
DB00023,"Asparaginase Escherichia coli",,https://go.drugbank.com/drugs/DB00023
DB00024,"Thyrotropin alfa",http://www.wikidata.org/entity/Q20816877,https://go.drugbank.com/drugs/DB00024
DB00025,"Antihemophilic factor, human recombinant",,https://go.drugbank.com/drugs/DB00025
DB00026,Anakinra,http://www.wikidata.org/entity/Q415411,https://go.drugbank.com/drugs/DB00026
DB00027,"Gramicidin D",,https://go.drugbank.com/drugs/DB00027
DB00028,"Human immunoglobulin G",,https://go.drugbank.com/drugs/DB00028
DB00029,Anistreplase,,https://go.drugbank.com/drugs/DB00029
DB00030,"Insulin human",http://www.wikidata.org/entity/Q50265665,https://go.drugbank.com/drugs/DB00030
DB00031,Tenecteplase,http://www.wikidata.org/entity/Q1644947,https://go.drugbank.com/drugs/DB00031
DB00032,Menotropins,,https://go.drugbank.com/drugs/DB00032
DB00033,"Interferon gamma-1b",,https://go.drugbank.com/drugs/DB00033
DB00034,"Interferon alfa-2a, Recombinant",,https://go.drugbank.com/drugs/DB00034
DB00035,Desmopressin,http://www.wikidata.org/entity/Q241006,https://go.drugbank.com/drugs/DB00035
DB00036,"Coagulation factor VIIa Recombinant Human",,https://go.drugbank.com/drugs/DB00036
DB00038,Oprelvekin,,https://go.drugbank.com/drugs/DB00038
DB00039,Palifermin,,https://go.drugbank.com/drugs/DB00039
DB00040,Glucagon,,https://go.drugbank.com/drugs/DB00040
DB00041,Aldesleukin,,https://go.drugbank.com/drugs/DB00041
DB00042,"Botulinum Toxin Type B",http://www.wikidata.org/entity/Q15709005,https://go.drugbank.com/drugs/DB00042
DB00043,Omalizumab,http://www.wikidata.org/entity/Q415392,https://go.drugbank.com/drugs/DB00043
DB00044,"Lutropin alfa",,https://go.drugbank.com/drugs/DB00044
DB00045,"Lyme disease vaccine (recombinant OspA)",,https://go.drugbank.com/drugs/DB00045
DB00046,"Insulin lispro",http://www.wikidata.org/entity/Q3492616,https://go.drugbank.com/drugs/DB00046
DB00047,"Insulin glargine",http://www.wikidata.org/entity/Q417317,https://go.drugbank.com/drugs/DB00047
DB00048,"Collagenase clostridium histolyticum",,https://go.drugbank.com/drugs/DB00048
DB00049,Rasburicase,http://www.wikidata.org/entity/Q3088229,https://go.drugbank.com/drugs/DB00049
DB00050,Cetrorelix,,https://go.drugbank.com/drugs/DB00050
DB00051,Adalimumab,http://www.wikidata.org/entity/Q348260,https://go.drugbank.com/drugs/DB00051
DB00052,Somatotropin,,https://go.drugbank.com/drugs/DB00052
DB00053,Imiglucerase,http://www.wikidata.org/entity/Q2620206,https://go.drugbank.com/drugs/DB00053
DB00054,Abciximab,,https://go.drugbank.com/drugs/DB00054
DB00055,"Drotrecogin alfa",http://www.wikidata.org/entity/Q412888,https://go.drugbank.com/drugs/DB00055
DB00056,"Gemtuzumab ozogamicin",http://www.wikidata.org/entity/Q412685,https://go.drugbank.com/drugs/DB00056
DB00057,"Indium In-111 satumomab pendetide",,https://go.drugbank.com/drugs/DB00057
DB00058,"Alpha-1-proteinase inhibitor",,https://go.drugbank.com/drugs/DB00058
DB00059,Pegaspargase,http://www.wikidata.org/entity/Q7160547,https://go.drugbank.com/drugs/DB00059
DB00060,"Interferon beta-1a",http://www.wikidata.org/entity/Q2450337,https://go.drugbank.com/drugs/DB00060
DB00061,Pegademase,http://www.wikidata.org/entity/Q20801767,https://go.drugbank.com/drugs/DB00061
DB00062,"Albumin human",,https://go.drugbank.com/drugs/DB00062
DB00063,Eptifibatide,http://www.wikidata.org/entity/Q2295855,https://go.drugbank.com/drugs/DB00063
DB00065,Infliximab,http://www.wikidata.org/entity/Q415264,https://go.drugbank.com/drugs/DB00065
DB00066,Follitropin,http://www.wikidata.org/entity/Q78151521,https://go.drugbank.com/drugs/DB00066
DB00067,Vasopressin,http://www.wikidata.org/entity/Q183011,https://go.drugbank.com/drugs/DB00067
DB00068,"Interferon beta-1b",http://www.wikidata.org/entity/Q1851162,https://go.drugbank.com/drugs/DB00068
DB00069,"Interferon alfacon-1",,https://go.drugbank.com/drugs/DB00069
DB00070,"Hyaluronidase (ovine)",,https://go.drugbank.com/drugs/DB00070
DB00071,"Insulin pork",,https://go.drugbank.com/drugs/DB00071
DB00072,Trastuzumab,http://www.wikidata.org/entity/Q412616,https://go.drugbank.com/drugs/DB00072
DB00073,Rituximab,http://www.wikidata.org/entity/Q412323,https://go.drugbank.com/drugs/DB00073
DB00074,Basiliximab,,https://go.drugbank.com/drugs/DB00074
DB00075,Muromonab,,https://go.drugbank.com/drugs/DB00075
DB00076,"Digoxin Immune Fab (Ovine)",,https://go.drugbank.com/drugs/DB00076
DB00078,"Ibritumomab tiuxetan",,https://go.drugbank.com/drugs/DB00078
DB00080,Daptomycin,http://www.wikidata.org/entity/Q418747,https://go.drugbank.com/drugs/DB00080
DB00081,Tositumomab,,https://go.drugbank.com/drugs/DB00081
DB00082,Pegvisomant,http://www.wikidata.org/entity/Q409697,https://go.drugbank.com/drugs/DB00082
DB00083,"Botulinum toxin type A",,https://go.drugbank.com/drugs/DB00083
DB00085,Pancrelipase,,https://go.drugbank.com/drugs/DB00085
DB00086,Streptokinase,,https://go.drugbank.com/drugs/DB00086
DB00087,Alemtuzumab,http://www.wikidata.org/entity/Q420164,https://go.drugbank.com/drugs/DB00087
DB00088,Alglucerase,,https://go.drugbank.com/drugs/DB00088
DB00089,"Capromab pendetide",,https://go.drugbank.com/drugs/DB00089
