id,source_id,drug_id,product_name,url,type,n_reviews,manufacturer_id,drug_name,wiki_url,drugbank_url
1,2,DB08875,cabometyx,https://www.webmd.com/drugs/2/drug-171648-1517/cabometyx/details,RX,5.0,,cabozantinib,http://www.wikidata.org/entity/Q795057,https://go.drugbank.com/drugs/DB08875
396,2,DB08875,cometriq,https://www.webmd.com/drugs/2/drug-163281-1517/cometriq/details,RX,0.0,,cabozantinib,http://www.wikidata.org/entity/Q795057,https://go.drugbank.com/drugs/DB08875
3016,1,DB08875,cometriq,,,,,cabozantinib,http://www.wikidata.org/entity/Q795057,https://go.drugbank.com/drugs/DB08875
3017,1,DB08875,cabometyx,,,,,cabozantinib,http://www.wikidata.org/entity/Q795057,https://go.drugbank.com/drugs/DB08875
17430,3,DB08875,cabometyx,,,,970.0,cabozantinib,http://www.wikidata.org/entity/Q795057,https://go.drugbank.com/drugs/DB08875
17431,3,DB08875,cabometyx,,,,2914.0,cabozantinib,http://www.wikidata.org/entity/Q795057,https://go.drugbank.com/drugs/DB08875
17432,3,DB08875,cometriq,,,,970.0,cabozantinib,http://www.wikidata.org/entity/Q795057,https://go.drugbank.com/drugs/DB08875
17433,3,DB08875,cometriq,,,,2938.0,cabozantinib,http://www.wikidata.org/entity/Q795057,https://go.drugbank.com/drugs/DB08875
17434,3,DB08875,cometriq,,,,1385.0,cabozantinib,http://www.wikidata.org/entity/Q795057,https://go.drugbank.com/drugs/DB08875
2,2,DB00622,cardene capsule,https://www.webmd.com/drugs/2/drug-14061-5225/cardene-capsule/details,RX,0.0,,nicardipine,http://www.wikidata.org/entity/Q729213,https://go.drugbank.com/drugs/DB00622
2971,1,DB00622,cardene,,,,,nicardipine,http://www.wikidata.org/entity/Q729213,https://go.drugbank.com/drugs/DB00622
8427,3,DB00622,cardene,,,,1901.0,nicardipine,http://www.wikidata.org/entity/Q729213,https://go.drugbank.com/drugs/DB00622
8428,3,DB00622,cardene,,,,1692.0,nicardipine,http://www.wikidata.org/entity/Q729213,https://go.drugbank.com/drugs/DB00622
8429,3,DB00622,cardene 20mg capsules,,,,2479.0,nicardipine,http://www.wikidata.org/entity/Q729213,https://go.drugbank.com/drugs/DB00622
8430,3,DB00622,cardene 30mg capsules,,,,2479.0,nicardipine,http://www.wikidata.org/entity/Q729213,https://go.drugbank.com/drugs/DB00622
8431,3,DB00622,cardene cap 30mg,,,,152.0,nicardipine,http://www.wikidata.org/entity/Q729213,https://go.drugbank.com/drugs/DB00622
8432,3,DB00622,cardene i.v.,,,,4021.0,nicardipine,http://www.wikidata.org/entity/Q729213,https://go.drugbank.com/drugs/DB00622
8433,3,DB00622,cardene i.v.,,,,467.0,nicardipine,http://www.wikidata.org/entity/Q729213,https://go.drugbank.com/drugs/DB00622
8434,3,DB00622,cardene iv,,,,2997.0,nicardipine,http://www.wikidata.org/entity/Q729213,https://go.drugbank.com/drugs/DB00622
8435,3,DB00622,cardene sr,,,,2634.0,nicardipine,http://www.wikidata.org/entity/Q729213,https://go.drugbank.com/drugs/DB00622
3,2,DB00364,"carafate suspension, (final dose form)",https://www.webmd.com/drugs/2/drug-14156-535/carafate-suspension-final-dose-form/details,RX,135.0,,sucralfate,http://www.wikidata.org/entity/Q420394,https://go.drugbank.com/drugs/DB00364
4,2,DB00364,carafate,https://www.webmd.com/drugs/2/drug-14156-68/carafate/details,RX,135.0,,sucralfate,http://www.wikidata.org/entity/Q420394,https://go.drugbank.com/drugs/DB00364
2609,1,DB00364,carafate,,,,,sucralfate,http://www.wikidata.org/entity/Q420394,https://go.drugbank.com/drugs/DB00364
6198,3,DB00364,apo-sucralfate - tab 1g,,,,3195.0,sucralfate,http://www.wikidata.org/entity/Q420394,https://go.drugbank.com/drugs/DB00364
6199,3,DB00364,carafate,,,,185.0,sucralfate,http://www.wikidata.org/entity/Q420394,https://go.drugbank.com/drugs/DB00364
6200,3,DB00364,carafate,,,,4069.0,sucralfate,http://www.wikidata.org/entity/Q420394,https://go.drugbank.com/drugs/DB00364
6201,3,DB00364,carafate,,,,2933.0,sucralfate,http://www.wikidata.org/entity/Q420394,https://go.drugbank.com/drugs/DB00364
6202,3,DB00364,carafate,,,,2880.0,sucralfate,http://www.wikidata.org/entity/Q420394,https://go.drugbank.com/drugs/DB00364
6203,3,DB00364,dom-sucralfate,,,,2252.0,sucralfate,http://www.wikidata.org/entity/Q420394,https://go.drugbank.com/drugs/DB00364
6204,3,DB00364,nu-sucralfate - tab 1gm,,,,1914.0,sucralfate,http://www.wikidata.org/entity/Q420394,https://go.drugbank.com/drugs/DB00364
6205,3,DB00364,pms-sucralfate,,,,533.0,sucralfate,http://www.wikidata.org/entity/Q420394,https://go.drugbank.com/drugs/DB00364
6206,3,DB00364,sucralfate,,,,3145.0,sucralfate,http://www.wikidata.org/entity/Q420394,https://go.drugbank.com/drugs/DB00364
6207,3,DB00364,sucralfate,,,,3761.0,sucralfate,http://www.wikidata.org/entity/Q420394,https://go.drugbank.com/drugs/DB00364
6208,3,DB00364,sucralfate,,,,2880.0,sucralfate,http://www.wikidata.org/entity/Q420394,https://go.drugbank.com/drugs/DB00364
6209,3,DB00364,sucralfate,,,,750.0,sucralfate,http://www.wikidata.org/entity/Q420394,https://go.drugbank.com/drugs/DB00364
6210,3,DB00364,sucralfate,,,,101.0,sucralfate,http://www.wikidata.org/entity/Q420394,https://go.drugbank.com/drugs/DB00364
6211,3,DB00364,sucralfate,,,,1203.0,sucralfate,http://www.wikidata.org/entity/Q420394,https://go.drugbank.com/drugs/DB00364
6212,3,DB00364,sucralfate,,,,587.0,sucralfate,http://www.wikidata.org/entity/Q420394,https://go.drugbank.com/drugs/DB00364
6213,3,DB00364,sucralfate,,,,3862.0,sucralfate,http://www.wikidata.org/entity/Q420394,https://go.drugbank.com/drugs/DB00364
6214,3,DB00364,sucralfate,,,,3779.0,sucralfate,http://www.wikidata.org/entity/Q420394,https://go.drugbank.com/drugs/DB00364
6215,3,DB00364,sucralfate,,,,2953.0,sucralfate,http://www.wikidata.org/entity/Q420394,https://go.drugbank.com/drugs/DB00364
5,2,DB00661,calan solution,https://www.webmd.com/drugs/2/drug-53562/calan-solution/details,RX,0.0,,verapamil,http://www.wikidata.org/entity/Q410291,https://go.drugbank.com/drugs/DB00661
6,2,DB00661,calan sr,https://www.webmd.com/drugs/2/drug-518-7010/calan-sr/details,RX,6.0,,verapamil,http://www.wikidata.org/entity/Q410291,https://go.drugbank.com/drugs/DB00661
7,2,DB00661,calan,https://www.webmd.com/drugs/2/drug-10482-1010/calan/details,RX,7.0,,verapamil,http://www.wikidata.org/entity/Q410291,https://go.drugbank.com/drugs/DB00661
272,2,DB00661,"isoptin s.r. 240 mg tablet,extended release",https://www.webmd.com/drugs/2/drug-53561-7010/isoptin-s-r-tablet-er/details,RX,0.0,,verapamil,http://www.wikidata.org/entity/Q410291,https://go.drugbank.com/drugs/DB00661
273,2,DB00661,isoptin solution,https://www.webmd.com/drugs/2/drug-6845/isoptin-solution/details,RX,0.0,,verapamil,http://www.wikidata.org/entity/Q410291,https://go.drugbank.com/drugs/DB00661
274,2,DB00661,"isoptin s.r. tablet, extended release",https://www.webmd.com/drugs/2/drug-74943-7010/isoptin-s-r-tablet-er/details,RX,0.0,,verapamil,http://www.wikidata.org/entity/Q410291,https://go.drugbank.com/drugs/DB00661
275,2,DB00661,"isoptin sr tablet, extended release",https://www.webmd.com/drugs/2/drug-520-7010/isoptin-sr-tablet-er/details,RX,5.0,,verapamil,http://www.wikidata.org/entity/Q410291,https://go.drugbank.com/drugs/DB00661
276,2,DB00661,isoptin tablet,https://www.webmd.com/drugs/2/drug-5499-1010/isoptin-tablet/details,RX,6.0,,verapamil,http://www.wikidata.org/entity/Q410291,https://go.drugbank.com/drugs/DB00661
487,2,DB00661,verelan,https://www.webmd.com/drugs/2/drug-7085-225/verelan/details,RX,4.0,,verapamil,http://www.wikidata.org/entity/Q410291,https://go.drugbank.com/drugs/DB00661
488,2,DB00661,verelan pm,https://www.webmd.com/drugs/2/drug-16976-225/verelan-pm/details,RX,8.0,,verapamil,http://www.wikidata.org/entity/Q410291,https://go.drugbank.com/drugs/DB00661
1724,1,DB00661,calan,,,,,verapamil,http://www.wikidata.org/entity/Q410291,https://go.drugbank.com/drugs/DB00661
1818,1,DB00661,isoptin,,,,,verapamil,http://www.wikidata.org/entity/Q410291,https://go.drugbank.com/drugs/DB00661
1819,1,DB00661,verelan,,,,,verapamil,http://www.wikidata.org/entity/Q410291,https://go.drugbank.com/drugs/DB00661
8882,3,DB00661,alti-verapamil - 120mg,,,,810.0,verapamil,http://www.wikidata.org/entity/Q410291,https://go.drugbank.com/drugs/DB00661
8883,3,DB00661,alti-verapamil - 80mg,,,,810.0,verapamil,http://www.wikidata.org/entity/Q410291,https://go.drugbank.com/drugs/DB00661
8884,3,DB00661,apo-verap sr,,,,3195.0,verapamil,http://www.wikidata.org/entity/Q410291,https://go.drugbank.com/drugs/DB00661
8885,3,DB00661,apo-verap tab 80mg,,,,3195.0,verapamil,http://www.wikidata.org/entity/Q410291,https://go.drugbank.com/drugs/DB00661
8886,3,DB00661,apo-verap tablet 120mg,,,,3195.0,verapamil,http://www.wikidata.org/entity/Q410291,https://go.drugbank.com/drugs/DB00661
8887,3,DB00661,calan,,,,1924.0,verapamil,http://www.wikidata.org/entity/Q410291,https://go.drugbank.com/drugs/DB00661
8888,3,DB00661,calan,,,,859.0,verapamil,http://www.wikidata.org/entity/Q410291,https://go.drugbank.com/drugs/DB00661
8889,3,DB00661,calan,,,,2880.0,verapamil,http://www.wikidata.org/entity/Q410291,https://go.drugbank.com/drugs/DB00661
8890,3,DB00661,calan sr,,,,1924.0,verapamil,http://www.wikidata.org/entity/Q410291,https://go.drugbank.com/drugs/DB00661
8891,3,DB00661,calan sr,,,,2880.0,verapamil,http://www.wikidata.org/entity/Q410291,https://go.drugbank.com/drugs/DB00661
8892,3,DB00661,covera-hs,,,,1924.0,verapamil,http://www.wikidata.org/entity/Q410291,https://go.drugbank.com/drugs/DB00661
8893,3,DB00661,covera-hs,,,,3379.0,verapamil,http://www.wikidata.org/entity/Q410291,https://go.drugbank.com/drugs/DB00661
8,2,DB00258,calphron,https://www.webmd.com/drugs/2/drug-13768-8139/calphron/details,,1.0,,calcium acetate,http://www.wikidata.org/entity/Q409251,https://go.drugbank.com/drugs/DB00258
552,2,DB00258,phoslo tablet,https://www.webmd.com/drugs/2/drug-7956-8139/phoslo/details,RX,14.0,,calcium acetate,http://www.wikidata.org/entity/Q409251,https://go.drugbank.com/drugs/DB00258
1118,2,DB00258,eliphos,https://www.webmd.com/drugs/2/drug-151682-8139/eliphos/details,RX,2.0,,calcium acetate,http://www.wikidata.org/entity/Q409251,https://go.drugbank.com/drugs/DB00258
1936,1,DB00258,phoslo,,,,,calcium acetate,http://www.wikidata.org/entity/Q409251,https://go.drugbank.com/drugs/DB00258
1937,1,DB00258,phoslyra,,,,,calcium acetate,http://www.wikidata.org/entity/Q409251,https://go.drugbank.com/drugs/DB00258
1938,1,DB00258,calphron,,,,,calcium acetate,http://www.wikidata.org/entity/Q409251,https://go.drugbank.com/drugs/DB00258
1939,1,DB00258,eliphos,,,,,calcium acetate,http://www.wikidata.org/entity/Q409251,https://go.drugbank.com/drugs/DB00258
5240,3,DB00258,aluminum acetate astringent,,,,897.0,calcium acetate,http://www.wikidata.org/entity/Q409251,https://go.drugbank.com/drugs/DB00258
5241,3,DB00258,aluminum acetate astringent,,,,3658.0,calcium acetate,http://www.wikidata.org/entity/Q409251,https://go.drugbank.com/drugs/DB00258
5242,3,DB00258,astringent,,,,939.0,calcium acetate,http://www.wikidata.org/entity/Q409251,https://go.drugbank.com/drugs/DB00258
5243,3,DB00258,calcium acetate,,,,899.0,calcium acetate,http://www.wikidata.org/entity/Q409251,https://go.drugbank.com/drugs/DB00258
5244,3,DB00258,calcium acetate,,,,1677.0,calcium acetate,http://www.wikidata.org/entity/Q409251,https://go.drugbank.com/drugs/DB00258
5245,3,DB00258,calcium acetate,,,,2086.0,calcium acetate,http://www.wikidata.org/entity/Q409251,https://go.drugbank.com/drugs/DB00258
5246,3,DB00258,calcium acetate,,,,3629.0,calcium acetate,http://www.wikidata.org/entity/Q409251,https://go.drugbank.com/drugs/DB00258
5247,3,DB00258,calcium acetate,,,,746.0,calcium acetate,http://www.wikidata.org/entity/Q409251,https://go.drugbank.com/drugs/DB00258
5248,3,DB00258,calcium acetate,,,,3779.0,calcium acetate,http://www.wikidata.org/entity/Q409251,https://go.drugbank.com/drugs/DB00258
5249,3,DB00258,calcium acetate,,,,3028.0,calcium acetate,http://www.wikidata.org/entity/Q409251,https://go.drugbank.com/drugs/DB00258
5250,3,DB00258,calcium acetate,,,,2454.0,calcium acetate,http://www.wikidata.org/entity/Q409251,https://go.drugbank.com/drugs/DB00258
5251,3,DB00258,calcium acetate,,,,2138.0,calcium acetate,http://www.wikidata.org/entity/Q409251,https://go.drugbank.com/drugs/DB00258
5252,3,DB00258,calcium acetate,,,,2104.0,calcium acetate,http://www.wikidata.org/entity/Q409251,https://go.drugbank.com/drugs/DB00258
5253,3,DB00258,calcium acetate,,,,228.0,calcium acetate,http://www.wikidata.org/entity/Q409251,https://go.drugbank.com/drugs/DB00258
9,2,DB00244,"canasa suppository, rectal",https://www.webmd.com/drugs/2/drug-20905-8146/canasa-suppository/details,RX,52.0,,mesalazine,http://www.wikidata.org/entity/Q412479,https://go.drugbank.com/drugs/DB00244
51,2,DB00244,pentasa,https://www.webmd.com/drugs/2/drug-3332-6146/pentasa/details,RX,125.0,,mesalazine,http://www.wikidata.org/entity/Q412479,https://go.drugbank.com/drugs/DB00244
785,2,DB00244,"delzicol 400 mg capsule,delayed release",https://www.webmd.com/drugs/2/drug-163434-1020/delzicol-capsule-delayed-release-enteric-coated/details,RX,27.0,,mesalazine,http://www.wikidata.org/entity/Q412479,https://go.drugbank.com/drugs/DB00244
786,2,DB00244,delzicol,https://www.webmd.com/drugs/2/drug-163434-1772/delzicol/details,RX,27.0,,mesalazine,http://www.wikidata.org/entity/Q412479,https://go.drugbank.com/drugs/DB00244
872,2,DB00244,asacol hd,https://www.webmd.com/drugs/2/drug-152452-1020/asacol-hd/details,RX,16.0,,mesalazine,http://www.wikidata.org/entity/Q412479,https://go.drugbank.com/drugs/DB00244
873,2,DB00244,"asacol tablet, delayed release (enteric coated)",https://www.webmd.com/drugs/2/drug-9006-1020/asacol-tablet-delayed-release-enteric-coated/details,RX,242.0,,mesalazine,http://www.wikidata.org/entity/Q412479,https://go.drugbank.com/drugs/DB00244
1103,2,DB00244,rowasa suppository,https://www.webmd.com/drugs/2/drug-9791-8146/rowasa-suppository/details,RX,9.0,,mesalazine,http://www.wikidata.org/entity/Q412479,https://go.drugbank.com/drugs/DB00244
1104,2,DB00244,rowasa enema kit,https://www.webmd.com/drugs/2/drug-9791-7146/rowasa-enema-kit/details,RX,9.0,,mesalazine,http://www.wikidata.org/entity/Q412479,https://go.drugbank.com/drugs/DB00244
1514,2,DB00244,lialda,https://www.webmd.com/drugs/2/drug-147055-1023/lialda/details,RX,193.0,,mesalazine,http://www.wikidata.org/entity/Q412479,https://go.drugbank.com/drugs/DB00244
1544,2,DB00244,apriso,https://www.webmd.com/drugs/2/drug-151692-1198/apriso/details,RX,80.0,,mesalazine,http://www.wikidata.org/entity/Q412479,https://go.drugbank.com/drugs/DB00244
2278,1,DB00244,apriso,,,,,mesalazine,http://www.wikidata.org/entity/Q412479,https://go.drugbank.com/drugs/DB00244
2279,1,DB00244,asacol,,,,,mesalazine,http://www.wikidata.org/entity/Q412479,https://go.drugbank.com/drugs/DB00244
2280,1,DB00244,canasa,,,,,mesalazine,http://www.wikidata.org/entity/Q412479,https://go.drugbank.com/drugs/DB00244
2281,1,DB00244,delzicol,,,,,mesalazine,http://www.wikidata.org/entity/Q412479,https://go.drugbank.com/drugs/DB00244
2282,1,DB00244,lialda,,,,,mesalazine,http://www.wikidata.org/entity/Q412479,https://go.drugbank.com/drugs/DB00244
2283,1,DB00244,pentasa,,,,,mesalazine,http://www.wikidata.org/entity/Q412479,https://go.drugbank.com/drugs/DB00244
2284,1,DB00244,rowasa,,,,,mesalazine,http://www.wikidata.org/entity/Q412479,https://go.drugbank.com/drugs/DB00244
5095,3,DB00244,5-asa,,,,3122.0,mesalazine,http://www.wikidata.org/entity/Q412479,https://go.drugbank.com/drugs/DB00244
5096,3,DB00244,apriso,,,,3862.0,mesalazine,http://www.wikidata.org/entity/Q412479,https://go.drugbank.com/drugs/DB00244
5097,3,DB00244,apriso,,,,2880.0,mesalazine,http://www.wikidata.org/entity/Q412479,https://go.drugbank.com/drugs/DB00244
5098,3,DB00244,apriso,,,,2334.0,mesalazine,http://www.wikidata.org/entity/Q412479,https://go.drugbank.com/drugs/DB00244
5099,3,DB00244,asacol,,,,185.0,mesalazine,http://www.wikidata.org/entity/Q412479,https://go.drugbank.com/drugs/DB00244
5100,3,DB00244,asacol,,,,3779.0,mesalazine,http://www.wikidata.org/entity/Q412479,https://go.drugbank.com/drugs/DB00244
5101,3,DB00244,asacol,,,,2880.0,mesalazine,http://www.wikidata.org/entity/Q412479,https://go.drugbank.com/drugs/DB00244
5102,3,DB00244,asacol,,,,3810.0,mesalazine,http://www.wikidata.org/entity/Q412479,https://go.drugbank.com/drugs/DB00244
5103,3,DB00244,asacol,,,,3369.0,mesalazine,http://www.wikidata.org/entity/Q412479,https://go.drugbank.com/drugs/DB00244
5104,3,DB00244,asacol,,,,1497.0,mesalazine,http://www.wikidata.org/entity/Q412479,https://go.drugbank.com/drugs/DB00244
