id,source_id_x,condition_id,drug_id,condition_name,source_id_y,url,drug_name,wiki_url,drugbank_url
1,2,22,DB08875,medullary thyroid carcinoma,2,https://www.webmd.com/drugs/2/condition-14002/medullary%20thyroid%20carcinoma,cabozantinib,http://www.wikidata.org/entity/Q795057,https://go.drugbank.com/drugs/DB08875
2,2,1,DB08875,renal cell carcinoma,2,https://www.webmd.com/drugs/2/condition-450/renal%20cell%20carcinoma,cabozantinib,http://www.wikidata.org/entity/Q795057,https://go.drugbank.com/drugs/DB08875
9614,1,1084,DB08875,renal cell carcinoma,1,,cabozantinib,http://www.wikidata.org/entity/Q795057,https://go.drugbank.com/drugs/DB08875
9618,1,1084,DB08875,renal cell carcinoma,1,,cabozantinib,http://www.wikidata.org/entity/Q795057,https://go.drugbank.com/drugs/DB08875
9611,1,922,DB08875,kidney cancer,1,,cabozantinib,http://www.wikidata.org/entity/Q795057,https://go.drugbank.com/drugs/DB08875
9615,1,922,DB08875,kidney cancer,1,,cabozantinib,http://www.wikidata.org/entity/Q795057,https://go.drugbank.com/drugs/DB08875
9613,1,817,DB08875,renal pelvis carcinoma,1,,cabozantinib,http://www.wikidata.org/entity/Q795057,https://go.drugbank.com/drugs/DB08875
9617,1,817,DB08875,renal pelvis carcinoma,1,,cabozantinib,http://www.wikidata.org/entity/Q795057,https://go.drugbank.com/drugs/DB08875
9612,1,878,DB08875,thyroid medullary carcinoma,1,,cabozantinib,http://www.wikidata.org/entity/Q795057,https://go.drugbank.com/drugs/DB08875
9616,1,878,DB08875,thyroid medullary carcinoma,1,,cabozantinib,http://www.wikidata.org/entity/Q795057,https://go.drugbank.com/drugs/DB08875
28,2,22,DB05294,medullary thyroid carcinoma,2,https://www.webmd.com/drugs/2/condition-14002/medullary%20thyroid%20carcinoma,vandetanib,http://www.wikidata.org/entity/Q7914515,https://go.drugbank.com/drugs/DB05294
7514,1,933,DB05294,thyroid cancer,1,,vandetanib,http://www.wikidata.org/entity/Q7914515,https://go.drugbank.com/drugs/DB05294
7515,1,878,DB05294,thyroid medullary carcinoma,1,,vandetanib,http://www.wikidata.org/entity/Q7914515,https://go.drugbank.com/drugs/DB05294
240,2,1,DB09078,renal cell carcinoma,2,https://www.webmd.com/drugs/2/condition-450/renal%20cell%20carcinoma,lenvatinib,http://www.wikidata.org/entity/Q6523413,https://go.drugbank.com/drugs/DB09078
8312,1,1084,DB09078,renal cell carcinoma,1,,lenvatinib,http://www.wikidata.org/entity/Q6523413,https://go.drugbank.com/drugs/DB09078
8310,1,922,DB09078,kidney cancer,1,,lenvatinib,http://www.wikidata.org/entity/Q6523413,https://go.drugbank.com/drugs/DB09078
8307,1,1329,DB09078,renal clear cell carcinoma,1,,lenvatinib,http://www.wikidata.org/entity/Q6523413,https://go.drugbank.com/drugs/DB09078
8308,1,1170,DB09078,"thyroid cancer, nonmedullary, 1",1,,lenvatinib,http://www.wikidata.org/entity/Q6523413,https://go.drugbank.com/drugs/DB09078
8311,1,878,DB09078,thyroid medullary carcinoma,1,,lenvatinib,http://www.wikidata.org/entity/Q6523413,https://go.drugbank.com/drugs/DB09078
8309,1,1063,DB09078,anaplastic thyroid cancer,1,,lenvatinib,http://www.wikidata.org/entity/Q6523413,https://go.drugbank.com/drugs/DB09078
344,2,1,DB00398,renal cell carcinoma,2,https://www.webmd.com/drugs/2/condition-450/renal%20cell%20carcinoma,sorafenib,http://www.wikidata.org/entity/Q421136,https://go.drugbank.com/drugs/DB00398
6645,1,1278,DB00398,acute myeloid leukemia,1,,sorafenib,http://www.wikidata.org/entity/Q421136,https://go.drugbank.com/drugs/DB00398
6649,1,1084,DB00398,renal cell carcinoma,1,,sorafenib,http://www.wikidata.org/entity/Q421136,https://go.drugbank.com/drugs/DB00398
6646,1,922,DB00398,kidney cancer,1,,sorafenib,http://www.wikidata.org/entity/Q421136,https://go.drugbank.com/drugs/DB00398
6644,1,1170,DB00398,"thyroid cancer, nonmedullary, 1",1,,sorafenib,http://www.wikidata.org/entity/Q421136,https://go.drugbank.com/drugs/DB00398
6647,1,892,DB00398,thyroid carcinoma,1,,sorafenib,http://www.wikidata.org/entity/Q421136,https://go.drugbank.com/drugs/DB00398
6648,1,681,DB00398,hepatocellular carcinoma,1,,sorafenib,http://www.wikidata.org/entity/Q421136,https://go.drugbank.com/drugs/DB00398
471,2,1,DB06287,renal cell carcinoma,2,https://www.webmd.com/drugs/2/condition-450/renal%20cell%20carcinoma,temsirolimus,http://www.wikidata.org/entity/Q7699074,https://go.drugbank.com/drugs/DB06287
7506,1,1084,DB06287,renal cell carcinoma,1,,temsirolimus,http://www.wikidata.org/entity/Q7699074,https://go.drugbank.com/drugs/DB06287
7508,1,1263,DB06287,mantle cell lymphoma,1,,temsirolimus,http://www.wikidata.org/entity/Q7699074,https://go.drugbank.com/drugs/DB06287
7507,1,922,DB06287,kidney cancer,1,,temsirolimus,http://www.wikidata.org/entity/Q7699074,https://go.drugbank.com/drugs/DB06287
627,2,1,DB01268,renal cell carcinoma,2,https://www.webmd.com/drugs/2/condition-450/renal%20cell%20carcinoma,sunitinib,http://www.wikidata.org/entity/Q417542,https://go.drugbank.com/drugs/DB01268
6099,1,1084,DB01268,renal cell carcinoma,1,,sunitinib,http://www.wikidata.org/entity/Q417542,https://go.drugbank.com/drugs/DB01268
6096,1,1185,DB01268,pancreatic cancer,1,,sunitinib,http://www.wikidata.org/entity/Q417542,https://go.drugbank.com/drugs/DB01268
6095,1,638,DB01268,neuroendocrine carcinoma,1,,sunitinib,http://www.wikidata.org/entity/Q417542,https://go.drugbank.com/drugs/DB01268
6092,1,1140,DB01268,gastrointestinal carcinoma,1,,sunitinib,http://www.wikidata.org/entity/Q417542,https://go.drugbank.com/drugs/DB01268
6090,1,1366,DB01268,carcinoid tumor,1,,sunitinib,http://www.wikidata.org/entity/Q417542,https://go.drugbank.com/drugs/DB01268
6097,1,936,DB01268,rare urinary tract tumor,1,,sunitinib,http://www.wikidata.org/entity/Q417542,https://go.drugbank.com/drugs/DB01268
6094,1,922,DB01268,kidney cancer,1,,sunitinib,http://www.wikidata.org/entity/Q417542,https://go.drugbank.com/drugs/DB01268
6100,1,845,DB01268,gastrointestinal stromal tumor,1,,sunitinib,http://www.wikidata.org/entity/Q417542,https://go.drugbank.com/drugs/DB01268
6089,1,1329,DB01268,renal clear cell carcinoma,1,,sunitinib,http://www.wikidata.org/entity/Q417542,https://go.drugbank.com/drugs/DB01268
6091,1,1438,DB01268,thymus cancer,1,,sunitinib,http://www.wikidata.org/entity/Q417542,https://go.drugbank.com/drugs/DB01268
6093,1,817,DB01268,renal pelvis carcinoma,1,,sunitinib,http://www.wikidata.org/entity/Q417542,https://go.drugbank.com/drugs/DB01268
6098,1,1061,DB01268,connective tissue neoplasm,1,,sunitinib,http://www.wikidata.org/entity/Q417542,https://go.drugbank.com/drugs/DB01268
747,2,1,DB06626,renal cell carcinoma,2,https://www.webmd.com/drugs/2/condition-450/renal%20cell%20carcinoma,axitinib,http://www.wikidata.org/entity/Q4830631,https://go.drugbank.com/drugs/DB06626
6727,1,1084,DB06626,renal cell carcinoma,1,,axitinib,http://www.wikidata.org/entity/Q4830631,https://go.drugbank.com/drugs/DB06626
6726,1,936,DB06626,rare urinary tract tumor,1,,axitinib,http://www.wikidata.org/entity/Q4830631,https://go.drugbank.com/drugs/DB06626
6724,1,922,DB06626,kidney cancer,1,,axitinib,http://www.wikidata.org/entity/Q4830631,https://go.drugbank.com/drugs/DB06626
